#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-14T15:36:27.616Z
079,Split #79,00:00:03.117,00:03:47.231,2023-04-14T15:40:14.847Z
080,Split #80,00:00:03.534,00:03:50.765,2023-04-14T15:40:18.381Z
081,Split #81,00:00:04.227,00:03:54.992,2023-04-14T15:40:22.608Z
082,Split #82,00:00:03.269,00:03:58.261,2023-04-14T15:40:25.877Z
083,Split #83,00:00:03.176,00:04:01.437,2023-04-14T15:40:29.053Z
084,Split #84,00:00:03.289,00:04:04.726,2023-04-14T15:40:32.342Z
085,Split #85,00:00:03.165,00:04:07.891,2023-04-14T15:40:35.507Z
086,Split #86,00:00:02.567,00:04:10.458,2023-04-14T15:40:38.074Z
087,Split #87,00:00:02.318,00:04:12.776,2023-04-14T15:40:40.392Z
088,Split #88,00:00:02.322,00:04:15.098,2023-04-14T15:40:42.714Z
089,Split #89,00:00:02.777,00:04:17.875,2023-04-14T15:40:45.491Z
090,Split #90,00:00:02.634,00:04:20.509,2023-04-14T15:40:48.125Z
091,Split #91,00:00:02.768,00:04:23.277,2023-04-14T15:40:50.893Z
092,Split #92,00:00:02.499,00:04:25.776,2023-04-14T15:40:53.392Z
093,Split #93,00:00:02.857,00:04:28.633,2023-04-14T15:40:56.249Z
094,Split #94,00:00:02.679,00:04:31.312,2023-04-14T15:40:58.928Z
095,Split #95,00:00:02.565,00:04:33.877,2023-04-14T15:41:01.493Z
096,Split #96,00:00:02.655,00:04:36.532,2023-04-14T15:41:04.148Z
097,Split #97,00:00:03.106,00:04:39.638,2023-04-14T15:41:07.254Z
098,Split #98,00:00:02.656,00:04:42.294,2023-04-14T15:41:09.910Z
099,Split #99,00:00:02.722,00:04:45.016,2023-04-14T15:41:12.632Z
100,Split #100,00:00:02.679,00:04:47.695,2023-04-14T15:41:15.311Z
101,Split #101,00:00:03.260,00:04:50.955,2023-04-14T15:41:18.571Z
102,Split #102,00:00:02.476,00:04:53.431,2023-04-14T15:41:21.047Z
103,Split #103,00:00:02.655,00:04:56.086,2023-04-14T15:41:23.702Z
104,Split #104,00:00:03.038,00:04:59.124,2023-04-14T15:41:26.740Z
105,Split #105,00:00:03.128,00:05:02.252,2023-04-14T15:41:29.868Z
106,Split #106,00:00:02.925,00:05:05.177,2023-04-14T15:41:32.793Z
107,Split #107,00:00:02.947,00:05:08.124,2023-04-14T15:41:35.740Z
108,Split #108,00:00:02.859,00:05:10.983,2023-04-14T15:41:38.599Z
109,Split #109,00:00:03.082,00:05:14.065,2023-04-14T15:41:41.681Z
110,Split #110,00:00:03.108,00:05:17.173,2023-04-14T15:41:44.789Z
111,Split #111,00:00:02.709,00:05:19.882,2023-04-14T15:41:47.498Z
112,Split #112,00:00:03.014,00:05:22.896,2023-04-14T15:41:50.512Z
113,Split #113,00:00:03.803,00:05:26.699,2023-04-14T15:41:54.315Z
114,Split #114,00:00:02.804,00:05:29.503,2023-04-14T15:41:57.119Z
115,Split #115,00:00:02.832,00:05:32.335,2023-04-14T15:41:59.951Z
116,Split #116,00:00:02.768,00:05:35.103,2023-04-14T15:42:02.719Z
117,Split #117,00:00:03.644,00:05:38.747,2023-04-14T15:42:06.363Z
118,Split #118,00:00:02.928,00:05:41.675,2023-04-14T15:42:09.291Z
119,Split #119,00:00:02.945,00:05:44.620,2023-04-14T15:42:12.236Z
120,Split #120,00:00:03.735,00:05:48.355,2023-04-14T15:42:15.971Z
121,Split #121,00:00:02.894,00:05:51.249,2023-04-14T15:42:18.865Z
122,Split #122,00:00:02.519,00:05:53.768,2023-04-14T15:42:21.384Z
123,Split #123,00:00:02.406,00:05:56.174,2023-04-14T15:42:23.790Z
124,Split #124,00:00:03.241,00:05:59.415,2023-04-14T15:42:27.031Z
125,Split #125,00:00:03.330,00:06:02.745,2023-04-14T15:42:30.361Z
126,Split #126,00:00:03.577,00:06:06.322,2023-04-14T15:42:33.938Z
127,Split #127,00:00:03.624,00:06:09.946,2023-04-14T15:42:37.562Z
128,Split #128,00:00:03.463,00:06:13.409,2023-04-14T15:42:41.025Z
129,Split #129,00:00:03.376,00:06:16.785,2023-04-14T15:42:44.401Z
130,Split #130,00:00:03.351,00:06:20.136,2023-04-14T15:42:47.752Z
131,Split #131,00:00:03.308,00:06:23.444,2023-04-14T15:42:51.060Z
132,Split #132,00:00:04.166,00:06:27.610,2023-04-14T15:42:55.226Z
133,Split #133,00:00:06.073,00:06:33.683,2023-04-14T15:43:01.299Z
134,Split #134,00:00:03.306,00:06:36.989,2023-04-14T15:43:04.605Z
135,Split #135,00:00:03.044,00:06:40.033,2023-04-14T15:43:07.649Z
136,Split #136,00:00:03.010,00:06:43.043,2023-04-14T15:43:10.659Z
137,Split #137,00:00:03.174,00:06:46.217,2023-04-14T15:43:13.833Z
