#,Label,Interval,Total,Time Recorded
000,Start #1,---,---,2023-04-08T05:26:01.302Z
079,Split #79,00:00:03.669,00:05:04.271,2023-04-08T05:31:05.573Z
080,Split #80,00:00:03.059,00:05:07.330,2023-04-08T05:31:08.632Z
081,Split #81,00:00:03.644,00:05:10.974,2023-04-08T05:31:12.276Z
082,Split #82,00:00:02.903,00:05:13.877,2023-04-08T05:31:15.179Z
083,Split #83,00:00:01.779,00:05:15.656,2023-04-08T05:31:16.958Z
084,Split #84,00:00:01.731,00:05:17.387,2023-04-08T05:31:18.689Z
085,Split #85,00:00:02.250,00:05:19.637,2023-04-08T05:31:20.939Z
086,Split #86,00:00:04.365,00:05:24.002,2023-04-08T05:31:25.304Z
087,Split #87,00:00:03.465,00:05:27.467,2023-04-08T05:31:28.769Z
088,Split #88,00:00:03.127,00:05:30.594,2023-04-08T05:31:31.896Z
089,Split #89,00:00:03.195,00:05:33.789,2023-04-08T05:31:35.091Z
090,Split #90,00:00:02.813,00:05:36.602,2023-04-08T05:31:37.904Z
091,Split #91,00:00:02.813,00:05:39.415,2023-04-08T05:31:40.717Z
092,Split #92,00:00:02.814,00:05:42.229,2023-04-08T05:31:43.531Z
093,Split #93,00:00:03.103,00:05:45.332,2023-04-08T05:31:46.634Z
094,Split #94,00:00:02.925,00:05:48.257,2023-04-08T05:31:49.559Z
095,Split #95,00:00:02.497,00:05:50.754,2023-04-08T05:31:52.056Z
096,Split #96,00:00:02.374,00:05:53.128,2023-04-08T05:31:54.430Z
097,Split #97,00:00:02.182,00:05:55.310,2023-04-08T05:31:56.612Z
098,Split #98,00:00:03.128,00:05:58.438,2023-04-08T05:31:59.740Z
099,Split #99,00:00:02.453,00:06:00.891,2023-04-08T05:32:02.193Z
100,Split #100,00:00:02.565,00:06:03.456,2023-04-08T05:32:04.758Z
101,Split #101,00:00:02.699,00:06:06.155,2023-04-08T05:32:07.457Z
102,Split #102,00:00:02.917,00:06:09.072,2023-04-08T05:32:10.374Z
103,Split #103,00:00:02.632,00:06:11.704,2023-04-08T05:32:13.006Z
104,Split #104,00:00:02.317,00:06:14.021,2023-04-08T05:32:15.323Z
105,Split #105,00:00:02.294,00:06:16.315,2023-04-08T05:32:17.617Z
106,Split #106,00:00:02.373,00:06:18.688,2023-04-08T05:32:19.990Z
107,Split #107,00:00:02.014,00:06:20.702,2023-04-08T05:32:22.004Z
108,Split #108,00:00:02.048,00:06:22.750,2023-04-08T05:32:24.052Z
109,Split #109,00:00:02.700,00:06:25.450,2023-04-08T05:32:26.752Z
110,Split #110,00:00:03.061,00:06:28.511,2023-04-08T05:32:29.813Z
111,Split #111,00:00:02.439,00:06:30.950,2023-04-08T05:32:32.252Z
112,Split #112,00:00:02.409,00:06:33.359,2023-04-08T05:32:34.661Z
113,Split #113,00:00:02.519,00:06:35.878,2023-04-08T05:32:37.180Z
114,Split #114,00:00:03.848,00:06:39.726,2023-04-08T05:32:41.028Z
115,Split #115,00:00:03.960,00:06:43.686,2023-04-08T05:32:44.988Z
116,Split #116,00:00:03.802,00:06:47.488,2023-04-08T05:32:48.790Z
117,Split #117,00:00:05.198,00:06:52.686,2023-04-08T05:32:53.988Z
118,Split #118,00:00:02.756,00:06:55.442,2023-04-08T05:32:56.744Z
119,Split #119,00:00:03.195,00:06:58.637,2023-04-08T05:32:59.939Z
120,Split #120,00:00:02.542,00:07:01.179,2023-04-08T05:33:02.481Z
121,Split #121,00:00:03.870,00:07:05.049,2023-04-08T05:33:06.351Z
122,Split #122,00:00:03.162,00:07:08.211,2023-04-08T05:33:09.513Z
123,Split #123,00:00:03.758,00:07:11.969,2023-04-08T05:33:13.271Z
124,Split #124,00:00:03.690,00:07:15.659,2023-04-08T05:33:16.961Z
125,Split #125,00:00:05.096,00:07:20.755,2023-04-08T05:33:22.057Z
126,Split #126,00:00:04.657,00:07:25.412,2023-04-08T05:33:26.714Z
127,Split #127,00:00:06.075,00:07:31.487,2023-04-08T05:33:32.789Z
128,Split #128,00:00:05.041,00:07:36.528,2023-04-08T05:33:37.830Z
129,Split #129,00:00:05.309,00:07:41.837,2023-04-08T05:33:43.139Z
130,Split #130,00:00:08.235,00:07:50.072,2023-04-08T05:33:51.374Z
131,Split #131,00:00:04.567,00:07:54.639,2023-04-08T05:33:55.941Z
132,Split #132,00:00:04.039,00:07:58.678,2023-04-08T05:33:59.980Z
133,Split #133,00:00:05.715,00:08:04.393,2023-04-08T05:34:05.695Z
134,Split #134,00:00:05.423,00:08:09.816,2023-04-08T05:34:11.118Z
135,Split #135,00:00:04.410,00:08:14.226,2023-04-08T05:34:15.528Z
136,Split #136,00:00:04.477,00:08:18.703,2023-04-08T05:34:20.005Z
137,Split #137,00:00:05.434,00:08:24.137,2023-04-08T05:34:25.439Z
138,Split #138,00:00:04.839,00:08:28.976,2023-04-08T05:34:30.278Z
